timestamp,station_name,event_type,duration_seconds,booked_bikes_entry,booked_bikes_exit,available_bikes_before,available_bikes_after,bikes_available_to_rent,bike_racks,free_racks,special_racks
2025-07-20T17:06:03,S Hackescher Markt (Nord),not_booked:bike_taken,0,0,0,3,2,2,4,1,0
2025-07-20T17:06:25,Jelbi Rathausstraße/Poststraße (MIT/RP),not_booked:bike_taken,0,0,0,5,4,4,10,6,0
2025-07-20T17:06:36,Swinemünderstr.,booked:not_taken,43,1,0,1,1,1,4,3,0
2025-07-20T17:06:36,Gustav-Meyer-Allee/Hussitenstraße,booked:not_taken,43,1,0,3,3,3,4,1,0
2025-07-20T17:06:36,Jelbi Rathausstraße/Poststraße (MIT/RP),not_booked:bike_taken,0,0,0,4,2,2,10,8,0
2025-07-20T17:06:46,M Bernauer Straße/Wolliner Straße,not_booked:bike_taken,0,0,0,8,7,7,4,0,0
2025-07-20T17:06:46,Gustav-Meyer-Allee/Hussitenstraße,not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:06:57,M Knaackstraße/Prenzlauer Allee,booked:not_taken,64,1,0,1,1,1,4,3,0
2025-07-20T17:06:57,Burgsdorfstraße/Willdenowstraße,booked:not_taken,64,1,1,1,1,0,4,3,0
2025-07-20T17:06:57,S Köpenick (Süd),not_booked:bike_taken,0,0,0,4,3,3,6,3,0
2025-07-20T17:07:08,**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),not_booked:bike_taken,0,0,0,5,4,4,10,6,0
2025-07-20T17:07:19,Baumschulenstraße/Kiefholzstraße,booked:not_taken,76,1,0,2,2,2,4,2,0
2025-07-20T17:07:19,M Bernauer Straße/Wolliner Straße,not_booked:bike_taken,0,0,0,7,5,5,4,0,0
2025-07-20T17:07:30,Prenzlauer Promenade/Heinersdorfer Straße,booked:not_taken,97,1,0,1,1,1,4,3,0
2025-07-20T17:07:30,Baumschulenstraße/Kiefholzstraße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:07:30,Hertha-Block-Promenade/Wilhelm-Kabus-Straße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:07:30,Ingrid-Reschke-Straße/Ulrich-Plenzdorf-Straße,not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:07:30,EDEKA Schnelle (Alt-Stralau),not_booked:bike_taken,0,0,0,2,1,1,4,3,0
2025-07-20T17:07:41,Weinbergspark,not_booked:bike_taken,0,0,0,3,2,2,12,10,0
2025-07-20T17:07:52,M Mauerpark,not_booked:bike_taken,0,0,0,10,9,9,18,9,0
2025-07-20T17:08:03,Weinbergspark,not_booked:bike_taken,0,0,0,2,1,1,12,11,0
2025-07-20T17:08:19,U Frankfurter Tor,not_booked:bike_taken,0,0,0,5,4,4,16,12,0
2025-07-20T17:09:01,Weserstraße/Wildenbruchstraße,booked:not_taken,188,1,0,1,1,1,4,3,0
2025-07-20T17:09:01,Weinbergspark,not_booked:bike_taken,0,0,0,2,1,1,12,11,0
2025-07-20T17:09:01,M Mauerpark,not_booked:bike_taken,0,0,0,8,7,7,18,11,0
2025-07-20T17:09:12,Hagenplatz,booked:not_taken,199,1,0,1,1,1,4,3,0
2025-07-20T17:09:12,Oranienstraße/Luckauer Straße,not_booked:bike_taken,0,0,0,3,1,1,4,3,0
2025-07-20T17:09:12,Oranienstraße/Luckauer Straße,not_booked:bike_taken,0,0,0,3,1,1,4,3,0
2025-07-20T17:09:12,Jelbi Huxleys Neue Welt (NEU/HU),not_booked:bike_taken,0,0,0,7,6,6,7,0,0
2025-07-20T17:09:12,**Jelbi S+U Hauptbahnhof/Europaplatz West (MOA/EW),not_booked:bike_taken,0,0,0,14,13,13,28,14,0
2025-07-20T17:09:23,Möckernstraße/Hornstraße,booked:not_taken,210,2,1,2,2,1,4,2,0
2025-07-20T17:09:34,Ordensmeisterstraße/Tempelhofer Damm,booked:not_taken,221,1,0,1,1,1,4,3,0
2025-07-20T17:09:34,Jelbi S+U Alexanderplatz/Grunerstraße (MIT/AG),not_booked:bike_taken,0,0,0,2,1,1,8,7,0
2025-07-20T17:09:34,Lobeckstraße/Moritzstraße,not_booked:bike_taken,0,0,0,3,2,2,4,2,0
2025-07-20T17:09:44,U Hermannplatz (Nord),booked:not_taken,112,1,0,1,1,1,5,3,0
2025-07-20T17:09:55,**S Ostbahnhof,not_booked:bike_taken,0,0,0,3,2,2,13,11,0
2025-07-20T17:10:06,Jelbi Burgstraße/Friedrichsbrücke (MIT/FR),not_booked:bike_taken,0,0,0,12,11,11,18,7,0
