Bike-Number,Rental-Time,Rental-Type,Rental-Location,Rental-Lat,Rental-Lng,Return-Time,Return-Type,Return-Location,Return-Lat,Return-Lng,Duration-Minutes,Movement-Type
18546,2025-07-20 17:05:59,Station (virtuell),S Südkreuz (Südost),52.474444,13.367028,2025-07-20 17:06:04,Station (virtuell),S Südkreuz (Südost),52.474444,13.367028,0.1,Station:Station
15449,2025-07-20 17:06:21,Station (virtuell),Jelbi Rathausstraße/Poststraße (MIT/RP),52.51748,13.40509,2025-07-20 17:06:27,Station (virtuell),Jelbi Rathausstraße/Poststraße (MIT/RP),52.51748,13.40509,0.1,Station:Station
18832,2025-07-20 17:06:32,Station (virtuell),Gustav-Meyer-Allee/Hussitenstraße,52.542465,13.383551,2025-07-20 17:06:38,Station (virtuell),Gustav-Meyer-Allee/Hussitenstraße,52.542465,13.383551,0.1,Station:Station
100924,2025-07-20 17:06:32,Station (virtuell),M Bernauer Straße/Wolliner Straße,52.539542,13.401644,2025-07-20 17:06:38,Station (virtuell),M Bernauer Straße/Wolliner Straße,52.539542,13.401644,0.1,Station:Station
17213,2025-07-20 17:06:32,Station (virtuell),Jelbi Rathausstraße/Poststraße (MIT/RP),52.51748,13.40509,2025-07-20 17:06:38,Station (virtuell),Jelbi Rathausstraße/Poststraße (MIT/RP),52.51748,13.40509,0.1,Station:Station
18706,2025-07-20 17:06:43,Station (virtuell),S Köpenick (Süd),52.458373,13.579692,2025-07-20 17:06:49,Station (virtuell),S Köpenick (Süd),52.458373,13.579692,0.1,Station:Station
15282,2025-07-20 17:06:54,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,2025-07-20 17:07:00,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,0.1,Station:Station
19551,2025-07-20 17:07:11,Station (virtuell),M Bernauer Straße/Wolliner Straße,52.539542,13.401644,2025-07-20 17:07:17,Station (virtuell),M Bernauer Straße/Wolliner Straße,52.539542,13.401644,0.1,Station:Station
17024,2025-07-20 17:07:17,Station (virtuell),Baumschulenstraße/Kiefholzstraße,52.465807,13.486999,2025-07-20 17:07:22,Station (virtuell),Baumschulenstraße/Kiefholzstraße,52.465807,13.486999,0.1,Station:Station
18475,2025-07-20 17:07:28,Station (physisch),Weinbergspark,52.532496,13.399335,2025-07-20 17:07:33,Station (physisch),Weinbergspark,52.532496,13.399335,0.1,Station:Station
16196,2025-07-20 17:07:39,Station (physisch),M Mauerpark,52.540802,13.404887,2025-07-20 17:07:44,Station (physisch),M Mauerpark,52.540802,13.404887,0.1,Station:Station
19372,2025-07-20 17:07:50,Station (physisch),Weinbergspark,52.532496,13.399335,2025-07-20 17:07:55,Station (physisch),Weinbergspark,52.532496,13.399335,0.1,Station:Station
19436,2025-07-20 17:08:12,Station (virtuell),Potsdamer Straße/Sigismundstraße,52.506578,13.36823,2025-07-20 17:08:18,Station (virtuell),Potsdamer Straße/Sigismundstraße,52.506578,13.36823,0.1,Station:Station
16129,2025-07-20 17:08:12,Station (virtuell),Schloßstraße/Spandauer Damm,52.519207,13.296003,2025-07-20 17:08:18,Station (virtuell),Schloßstraße/Spandauer Damm,52.519207,13.296003,0.1,Station:Station
19372,2025-07-20 17:08:07,Station (physisch),Weinbergspark,52.532496,13.399335,2025-07-20 17:08:29,Station (physisch),Weinbergspark,52.532496,13.399335,0.4,Station:Station
10376,2025-07-20 17:08:46,Station (physisch),M Mauerpark,52.540802,13.404887,2025-07-20 17:08:51,Station (physisch),M Mauerpark,52.540802,13.404887,0.1,Station:Station
16711,2025-07-20 17:08:57,Station (virtuell),Jelbi Huxleys Neue Welt (NEU/HU),52.486872,13.422317,2025-07-20 17:09:03,Station (virtuell),Jelbi Huxleys Neue Welt (NEU/HU),52.486872,13.422317,0.1,Station:Station
14351,2025-07-20 17:08:57,Station (virtuell),Oranienstraße/Luckauer Straße,52.503037,13.413475,2025-07-20 17:09:03,Station (virtuell),Oranienstraße/Luckauer Straße,52.503037,13.413475,0.1,Station:Station
17218,2025-07-20 17:08:57,Station (physisch),**Jelbi S+U Hauptbahnhof/Europaplatz West (MOA/EW),52.525905,13.368661,2025-07-20 17:09:03,Station (physisch),**Jelbi S+U Hauptbahnhof/Europaplatz West (MOA/EW),52.525905,13.368661,0.1,Station:Station
101183,2025-07-20 17:08:57,Station (virtuell),Oranienstraße/Luckauer Straße,52.503037,13.413475,2025-07-20 17:09:03,Station (virtuell),Oranienstraße/Luckauer Straße,52.503037,13.413475,0.1,Station:Station
19724,2025-07-20 17:09:08,Station (virtuell),EDEKA Viktoria-Luise-Straße,52.495304,13.341436,2025-07-20 17:09:14,Station (virtuell),EDEKA Viktoria-Luise-Straße,52.495304,13.341436,0.1,Station:Station
19372,2025-07-20 17:09:03,Station (physisch),Weinbergspark,52.532496,13.399335,2025-07-20 17:09:31,Station (physisch),Weinbergspark,52.532496,13.399335,0.5,Station:Station
17392,2025-07-20 17:09:31,Station (virtuell),Swinemünderstr.,52.54379,13.396969,2025-07-20 17:09:37,Freistehend,Flexzone,52.529818,13.433911,0.1,Station:Flexzone
10521,2025-07-20 17:08:18,Freistehend,außerhalb Flexzone,52.477618,13.421889,2025-07-20 17:09:42,Freistehend,außerhalb Flexzone,52.477618,13.421889,1.4,NoFlexzone:NoFlexzone
100395,2025-07-20 17:09:25,Station (virtuell),Jelbi Burgstraße/Friedrichsbrücke (MIT/FR),52.52119,13.40063,2025-07-20 17:09:53,Station (virtuell),Jelbi Burgstraße/Friedrichsbrücke (MIT/FR),52.52119,13.40063,0.5,Station:Station
19055,2025-07-20 17:09:48,Station (virtuell),Manfred-von-Richthofen-Straße/Loewenhardtdamm,52.478856,13.378172,2025-07-20 17:09:53,Station (virtuell),Manfred-von-Richthofen-Straße/Loewenhardtdamm,52.478856,13.378172,0.1,Station:Station
13138,2025-07-20 17:10:05,Station (virtuell),Prellerweg/Munsterdamm,52.459193,13.348265,2025-07-20 17:10:27,Station (virtuell),Prellerweg/Munsterdamm,52.459193,13.348265,0.4,Station:Station
100387,2025-07-20 17:10:27,Freistehend,Flexzone,52.514551,13.439034,2025-07-20 17:10:38,Freistehend,Flexzone,52.514484,13.438987,0.2,Flexzone:Flexzone
100121,2025-07-20 17:09:53,Freistehend,außerhalb Flexzone,52.477173,13.42182,2025-07-20 17:10:49,Freistehend,außerhalb Flexzone,52.477173,13.42182,0.9,NoFlexzone:NoFlexzone
19732,2025-07-20 17:10:55,Station (virtuell),Strandbad Plötzensee,52.541306,13.330278,2025-07-20 17:11:00,Station (virtuell),Strandbad Plötzensee,52.541306,13.330278,0.1,Station:Station
17452,2025-07-20 17:11:06,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,2025-07-20 17:11:11,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,0.1,Station:Station
18205,2025-07-20 17:08:07,Freistehend,Flexzone,52.477329,13.421631,2025-07-20 17:11:11,Freistehend,Flexzone,52.477329,13.421631,3.1,Flexzone:Flexzone
17482,2025-07-20 17:11:28,Station (physisch),Potsdamer Str./Eichhornstr.,52.508957,13.371686,2025-07-20 17:11:34,Station (physisch),Potsdamer Str./Eichhornstr.,52.508957,13.371686,0.1,Station:Station
16053,2025-07-20 17:11:50,Station (virtuell),U Rathaus Neukölln (Schönstedtstraße),52.482101,13.433844,2025-07-20 17:11:56,Station (virtuell),U Rathaus Neukölln (Schönstedtstraße),52.482101,13.433844,0.1,Station:Station
100813,2025-07-20 17:12:01,Station (virtuell),Strandbad Wannsee,52.437789,13.179719,2025-07-20 17:12:07,Station (virtuell),Strandbad Wannsee,52.437789,13.179719,0.1,Station:Station
19598,2025-07-20 17:12:01,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,2025-07-20 17:12:07,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,0.1,Station:Station
17452,2025-07-20 17:11:22,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,2025-07-20 17:12:18,Station (virtuell),**Jelbi S+U Hauptbahnhof/Washingtonplatz (MOA/HW),52.52369,13.37076,0.9,Station:Station
14351,2025-07-20 17:09:14,Station (virtuell),Oranienstraße/Luckauer Straße,52.503037,13.413475,2025-07-20 17:12:40,Station (virtuell),Jelbi Rio-Reiser-Platz (KRE/RI),52.499977,13.423202,3.4,Station:Station
101183,2025-07-20 17:09:14,Station (virtuell),Oranienstraße/Luckauer Straße,52.503037,13.413475,2025-07-20 17:12:40,Station (virtuell),Jelbi Rio-Reiser-Platz (KRE/RI),52.499977,13.423202,3.4,Station:Station
